version,size_dense_1,size_dense_2,drop_rate,learning_rate,training_duration_min,test_acc
1,64,32,0.0,0.01,7.229273581504822,0.3333333432674408
2,64,32,0.0,0.001,8.172601016362508,0.9704301357269287
3,64,32,0.0,0.0001,7.810906267166137,0.975806474685669
4,64,32,0.2,0.01,7.831274664402008,0.3333333432674408
5,64,32,0.2,0.001,8.495367765426636,0.975806474685669
6,64,32,0.2,0.0001,8.44201556444168,0.8467742204666138
7,64,32,0.5,0.01,7.611160437266032,0.3333333432674408
8,64,32,0.5,0.001,10.719759114583333,0.9408602118492126
9,64,32,0.5,0.0001,10.891078468163808,0.524193525314331
10,64,64,0.0,0.01,8.624086531003316,0.3333333432674408
11,64,64,0.0,0.001,12.007214879989624,0.9865591526031494
12,64,64,0.0,0.0001,8.62178616921107,0.9623655676841736
13,64,64,0.2,0.01,7.396303097407023,0.3333333432674408
14,64,64,0.2,0.001,7.5332168181737265,0.975806474685669
15,64,64,0.2,0.0001,7.567126798629761,0.7876344323158264
16,64,64,0.5,0.01,7.3779965996742245,0.3333333432674408
17,64,64,0.5,0.001,7.482188200950622,1.0
18,64,64,0.5,0.0001,8.029553202788035,0.5
19,128,32,0.0,0.01,7.5121104637781775,0.3333333432674408
20,128,32,0.0,0.001,6.937196584542592,0.9650537371635437
21,128,32,0.0,0.0001,7.02184960047404,0.948924720287323
22,128,32,0.2,0.01,8.028712666034698,0.3333333432674408
23,128,32,0.2,0.001,7.54589323202769,1.0
24,128,32,0.2,0.0001,7.577057715257009,0.7956989407539368
25,128,32,0.5,0.01,8.090400516986847,0.3333333432674408
26,128,32,0.5,0.001,8.826996099948882,0.9811828136444092
27,128,32,0.5,0.0001,8.206417981783549,0.7419354915618896
28,128,64,0.0,0.01,6.85646249850591,0.3333333432674408
29,128,64,0.0,0.001,7.0779512842496235,0.9677419066429138
30,128,64,0.0,0.0001,7.758892214298248,0.9543010592460632
31,128,64,0.2,0.01,8.225238251686097,0.3333333432674408
32,128,64,0.2,0.001,7.62478988567988,0.9811828136444092
33,128,64,0.2,0.0001,7.758055098851522,0.9193548560142517
34,128,64,0.5,0.01,7.44087321360906,0.3333333432674408
35,128,64,0.5,0.001,7.618686866760254,0.9704301357269287
36,128,64,0.5,0.0001,7.612773017088572,0.5080645084381104
37,256,32,0.0,0.01,7.187719178199768,0.3333333432674408
38,256,32,0.0,0.001,7.902724234263102,0.9408602118492126
39,256,32,0.0,0.0001,8.478644196192423,0.975806474685669
40,256,32,0.2,0.01,7.717406165599823,0.3333333432674408
41,256,32,0.2,0.001,7.871527783075968,0.9731183052062988
42,256,32,0.2,0.0001,7.9126976807912195,0.8951612710952759
43,256,32,0.5,0.01,7.767957397301992,0.3333333432674408
44,256,32,0.5,0.001,8.524146656195322,0.9274193644523621
45,256,32,0.5,0.0001,7.937547866503397,0.8951612710952759
46,256,64,0.0,0.01,7.221097314357758,0.3333333432674408
47,256,64,0.0,0.001,7.241647533575693,0.9193548560142517
48,256,64,0.0,0.0001,7.349333385626475,0.9731183052062988
49,256,64,0.2,0.01,7.798377470175425,0.3333333432674408
50,256,64,0.2,0.001,8.994339533646901,0.9623655676841736
51,256,64,0.2,0.0001,8.034277403354645,0.9462365508079529
52,256,64,0.5,0.01,8.330898718039196,0.3333333432674408
53,256,64,0.5,0.001,7.816124093532562,0.9650537371635437
54,256,64,0.5,0.0001,7.904794649283091,0.5161290168762207
